type,code,name,addr,lat,lng
01,11880601,부광약국,"서울특별시 도봉구 덕릉로 398 120호 (창동, 주공17단지상가)",37.6457771,127.0531489
01,36824909,신대약국,전라남도 순천시 해룡면 향매로 97 1층,34.9335929,127.5500227
01,11836636,메디팜신웅약국,"서울특별시 중구 퇴계로87길 15-8, (황학동)",37.5662521,127.0207989
01,37848984,맘약국,"대구광역시 수성구 달구벌대로 3188 (신매동, 아레나스포츠센터)",35.8403433,128.7052211
01,34812610,다나약국,"대전광역시 서구 둔산로 121 1층 (둔산동, 연당빌딩)",36.351539,127.3874166
03,6218200763,상북농협하나로마트석계점,경남 양산시 상북면 석계리 28-26,35.4194787,129.0634546
03,6138203420,산청군농협하나로마트오성사업장,경남 산청군 오부면 오동로 185,35.4702723,127.8758305
01,12868728,대한약국,"서울특별시 종로구 대학로5길 57 1,2층 (연건동)",37.5796275,127.0015857
01,31893911,비전약국,"경기도 용인시 수지구 문정로 13 103호 (풍덕천동, 중수프라자)",37.3219801,127.0960557
01,35821329,필리아약국,"전라북도 정읍시 우암로 11-1, (시기동)",35.5646195,126.8539871
01,37826182,혜인약국,대구광역시 북구 산격로 50 1층 (산격동),35.8950964,128.6053952
01,12861031,한사랑약국,"서울특별시 영등포구 신길로 181-1, 1층 (신길동)",37.5084681,126.9107576
02,2238303262,신남우체국,강원도 인제군 남면 신남로60,37.96801,128.080125
03,5028208163,대구축협하나로마트본점,대구 동구 신암동 645-4,35.8919883,128.6222406
01,41844289,아인온누리약국,경기도 오산시 청학로 238 홈플러스 2층 (수청동),37.1701347,127.0618101
01,36825166,신화약국,광주광역시 서구 풍암1로 7 (풍암동),35.1263706,126.8779443
01,12869180,중계상록수약국,서울특별시 노원구 중계로 218 원광빌딩 1층 102호 (중계동),37.6508514,127.0760126
01,33805431,온누리연세약국,충청북도 청주시 흥덕구 사직대로 14 1층 (복대동),36.6338965,127.4488591
01,37829891,건강약국,"경상북도 경주시 금성로 286-1, (성건동)",35.843076,129.2072769
03,3018209948,청남농협하나로마트가덕점,충북 청원군 가덕면 인차리 333-5번지,36.5536857,127.5464675
01,12806919,미래약국,"서울특별시 구로구 구로동로 145-6, B동 1,2층 (구로동)",37.4915622,126.8834432
01,12804321,시티약국,서울특별시 송파구 올림픽로 116 1층 (잠실동),37.5113865,127.0834983
01,31884911,현대프라자약국,경기도 의왕시 모락로 16 304호 (오전동),37.3594858,126.9670896
01,37830244,장기참사랑약국,"대구광역시 달서구 한들로 36 116동 104호 (장기동, 장기영남네오빌파크상가)",35.8474424,128.5262728
01,37806823,시대약국,대구광역시 중구 남산로6길 4 (남산동),35.8589785,128.5851099
01,21810834,부산온누리약국,부산광역시 영도구 태종로 92 (대교동2가),35.0914895,129.0406262
02,5148302679,달성공단우체국,대구  달성군 논공읍 논공중앙로33길 9,35.7304736,128.4526831
01,41834445,더화인약국,"경기도 화성시 병점1로 221 106호 (진안동, 화인메디컬프라자)",37.2136177,127.0418071
01,12849952,미소약국,"서울특별시 영등포구 문래로 83 (문래동3가, 아라비즈타워 209호)",37.5199173,126.8913363
01,37850164,다온약국,대구광역시 남구 봉덕로 90 1층 (봉덕동),35.8444698,128.6003513
01,11815086,오메디약국,서울특별시 송파구 올림픽로37길 130 파크리오 파크리오상가A동 3층 316호 (신천동),37.5207845,127.1045119
